あ:赤色,青色,曖昧,小豆,あみだくじ,アンケート
い:犬,石,生き物,意識不明,インドネシア,インスタント
う:浮き輪,海,牛,打ち上げ花火,運動会,ウスターソース
え:駅,エレベーター,煙突,映画,エンジニア,炎上
お:お気に入り,オアシス,追い討ち,音読,応援歌,温暖化
か:カラス,革命,カエデ,神奈川,怪奇現象,替え玉
き:企画,黄緑,記憶力,きゅうり,気管支,キリスト
く:クリスタル,薬,果物,空気清浄機,空調,車椅子
け:経験値,ケンタッキー,毛糸,研究室,京急電鉄,怪我の功名
こ:コロナ,小高先生,こどおじ,コンサート,コンクリート,鯉のぼり
さ:最高,参加者,サスペンダー,再起動,サングリア,三脚
し:システム,修理,試合,シンガポール,就職活動,新学期
す:スライム,水泳,寿司,スイカ,スルメイカ,駿台予備校
せ:背筋,生活費,先生,戦国時代,生活保護,仙台空港
そ:素数,双眼鏡,素因数分解,損害賠償,孫悟空,走行距離
た:太鼓,助け舟,短期大学,誕生日,炭水化物,炭酸水
ち:チェックメイト,地図,知識,チーズ,鎮痛剤,チームワーク
つ:積み木,ツイッター,追求,対馬,机,ツール
て:てんとう虫,提出期限,天才,天気予報,転職,展示会
と:友達,東京工科大学,東京タワー,トンネル,トマト,時計
な:中西ゆうや,涙袋,那覇市,難易度,ナメクジ,長靴
に:新潟,日本橋,仁王立ち,人形,任天堂,にんにく
ぬ:ぬいぐるみ,縫い目,ヌンチャク,ヌクレオチド,沼,抜き打ちテスト
ね:ねずみ,音色,値段相応,ネイマール,年賀状,猫
の:農協,のんびり,ノンストップ,脳内再生,野良犬,ノート
は:歯磨き,ハイキング,繁華街,反抗期,ハエ,ハガキ
ひ:卑弥呼,貧弱,ヒンドゥー教,ひき肉,飛行機,膝
ふ:ふくらはぎ,奮発,雰囲気,ファッション,噴出,フォアグラ
へ:平安時代,平行移動,変異種,平和,編集,変化球
ほ:本拠地,本州,本棚,保育園児,保護者,放射線物質
ま:マイクロソフト,マインドコントロール,水,マイナス,マカロニ,マグカップ
み:ミクロ経済学,民主主義,ミュージック,ミートソース,ミンティア,ミミズ
む:無関係,無意識,ムール貝,無計画,虫,無重力
め:メモ帳,名曲,迷宮,目頭,明太子,免許証
も:問題,モーニング,毛沢東,モンゴル,もずく,桃
や:やけど,焼き魚,休み明け,ヤクザ,焼肉,八重洲口
ゆ:指輪,有給休暇,遊園地,憂鬱,夕焼け,有限会社
よ:溶鉱炉,幼稚,要求,優勝,優先席,ゆうちょ銀行
ら:ライブハウス,ライセンス,らくだ,落書き,落石
り:りんご,リズム,リスク,倫理,リアルタイム,臨床技師
る:留守番電話,ルーレット,ルール,ルンバ,ルーマニア,留守番電話
れ:冷凍,練習,連休,冷蔵庫,練習試合,連携
ろ:老人ホーム,ろうそく,ロジック,ローカル,ロールケーキ,ログハウス
わ:ワイシャツ,ワイヤレス,ワイモバイル,わんこそば,ワールドカップ,湧水
を:
ん:
が:ガイド,外国人,ガリウム,ガイドブック,眼球,眼帯
ぎ:銀行,銀だこ,犠牲者,技術者,銀閣寺,銀メダル
ぐ:グルメ,グアム,グッズ,グルタミン酸ナトリウム,群馬,軍縮
げ:ゲーム,芸能,芸術家,芸能活動,現代社会,原材料
ご:ゴミ,ゴルフ,ご案内,号泣,強奪,合格発表
ざ:座椅子,財務省,在宅ワーク,座談会,残業代,在庫
じ:人件費,人工呼吸,自転車,人権問題,自意識過剰,ジブリ
ず:ズッキーニ,図面上,髄膜,図工,ズル休み,ずんだ餅
ぜ:喘息,絶対,贅沢,贅肉,全国大会,絶好調
ぞ:増強,続出,雑煮,雑木林,増刊号,草履
だ:大根おろし,大学,ダイエット,大学生,第一印象,男子校
ぢ:
づ:
で:デート,ディズニー,出前,電子レンジ,電卓,電子書籍
ど:ドラッグストア,同級生,ドミノ,ドンキホーテ,同情,道徳
ば:バイト,爆発,賠償,売却,バアムクーヘン,絆創膏
び:貧乏,美術,ビジュアル,鼻腔,ビール,微生物
ぶ:文化祭,文庫,無愛想,文系,不器用,豚肉
べ:米軍基地,ベイスターズ,勉強,ベストアルバム,別室,別荘
ぼ:募金活動,ボイスメッセージ,防御力,盆休み,ボンネット,ボタン電池
ぱ:パスワード,パイナップル,パスポート,パチンコ,パイロット,パンツ
ぴ:ピクニック,ピアニスト,ピックアップ,ピーナッツ,ピンセット,ピラミッド
ぷ:プラスチック,プライベート,プラス,プラズマ,プレゼント,プログラミング
ぺ:ペペロンチーノ,ペイント,ペット,北京オリンピック,ペンダント,ペンネーム
ぽ:ポジティブ,ポスト,ポイントカード,ポーチ,ポップミュージック,ポストカード
